cor_media,cor_desvio,cor_minima,cor_maxima,area,perimetro,proporcao,preenchimento,circularidade,classe,imagem_origem
43.53017327225652,14.622029953396583,17,119,4905.0,274.73506116867065,0.7708333333333334,0.690456081081081,0.8166212974992582,1,feijoes1.jpg
33.8375083500334,12.103186502644638,17,106,5860.0,303.70562422275543,0.8979591836734694,0.6794990723562152,0.7983655910975733,1,feijoes1.jpg
31.5390395295655,14.307739043234946,13,116,5977.0,346.81832218170166,0.6756756756756757,0.7179579579579579,0.6244376117783637,1,feijoes1.jpg
30.38053767512306,14.041084300325712,15,119,5163.5,278.4924226999283,0.7731958762886598,0.7097594501718213,0.8366181436594706,1,feijoes1.jpg
24.324786324786324,9.226336384177689,13,57,183.0,117.39696848392487,0.42857142857142855,0.17784256559766765,0.16685805966706915,1,feijoes1.jpg
42.34435261707989,12.783225249188051,21,107,3871.0,290.0487699508667,0.8987341772151899,0.6901408450704225,0.5782171639921141,1,feijoes1.jpg
71.47294117647058,20.001172837583617,49,133,370.5,130.61017107963562,1.434782608695652,0.4881422924901186,0.2729254780673513,0,feijoes1.jpg
51.00599828620394,20.23109753910233,10,118,1959.0,896.2884474992752,0.6959459459459459,0.12850957753870376,0.030644229244998537,0,feijoes1.jpg
36.53475935828877,9.539819184648177,18,67,138.5,120.26702523231506,0.7692307692307693,0.11837606837606837,0.12032794493198799,1,feijoes1.jpg
41.636315510852306,21.87939351635925,5,102,1577.5,743.192992568016,1.7613636363636365,0.1156524926686217,0.03589021167110551,0,feijoes1.jpg
51.40786240786241,21.81045749448325,11,97,338.5,161.09545266628265,1.1842105263157894,0.197953216374269,0.16390868800186448,0,feijoes1.jpg
51.39900935608145,21.57068117388417,19,137,1567.5,581.9137748479843,0.6095238095238096,0.23325892857142858,0.0581701438772048,0,feijoes1.jpg
33.7475320310859,13.761207523086789,10,118,4643.5,265.7228693962097,1.04,0.7937606837606838,0.8264135834361847,1,feijoes1.jpg
43.576556543837356,15.10179930999219,21,115,3056.0,217.62236416339874,0.9014084507042254,0.6725352112676056,0.8108792103422588,1,feijoes1.jpg
49.432291666666664,17.55401994812507,15,128,4115.0,252.45079159736633,1.5166666666666666,0.7536630036630036,0.8113836085631797,1,feijoes1.jpg
